BANKACCOUNTS_ID,BANKACCOUNTS_AMOUNT,BANKACCOUNTS_PROPERTY3,BANKACCOUNTS_USERS,BANKACCOUNTS_BANKACCOUNTTYPE,BANKACCOUNTS_BANKACCOUNTSTATUS,BANKACCOUNTS_CREATIONDATE,BANKACCOUNTS_CURRENCY
1,3455.28,BG17PIBS1712,1,2,1,2023-03-11,30
2,4632.65,BG17PIBS1713,2,1,1,2023-02-10,2
3,2988.46,BG17PIBS1714,3,1,1,2023-04-29,30
4,3019.97,BG17PIBS1715,4,1,1,2024-01-23,2
5,2461.03,BG17PIBS1716,5,1,1,2023-12-04,30
6,1987.54,BG17PIBS1717,6,1,1,2023-05-17,2
7,7912.66,BG17PIBS1718,7,1,1,2023-05-31,30
8,12013.98,BG17PIBS1719,8,1,1,2023-07-06,30
9,4555.33,BG17PIBS1720,9,1,1,2024-01-11,30
10,3992.67,BG17PIBS1721,10,1,1,2023-11-08,2
11,6000.29,BG17PIBS1722,11,1,1,2023-08-14,30
12,3324.45,BG17PIBS1723,12,1,1,2023-10-12,30
13,2654.18,BG17PIBS1724,13,1,1,2023-05-16,30
14,1998.56,BG17PIBS1725,14,1,1,2023-11-21,30
15,2854.23,BG17PIBS1726,15,1,1,2024-02-23,30
16,8882.49,BG17PIBS1727,16,1,1,2023-02-22,30
17,2765.98,BG17PIBS1728,17,1,1,2023-01-30,2
18,1784.34,BG17PIBS1729,18,1,1,2023-12-15,2
19,2764.09,BG17PIBS1730,19,1,1,2023-08-06,2
20,1234.54,BG17PIBS1731,20,1,1,2024-04-13,2
21,8423.23,BG17PIBS1732,21,1,1,2023-08-27,30
22,4567.32,BG17PIBS1733,22,1,1,2023-09-05,2
23,2468.65,BG17PIBS1734,23,1,1,2023-12-17,30
24,9876.45,BG17PIBS1735,24,1,1,2024-03-08,2
25,1546.76,BG17PIBS1736,25,1,1,2023-06-25,30
26,11000.76,BG17PIBS1737,26,1,1,2023-06-11,30
27,3467.76,BG17PIBS1738,27,1,1,2023-03-19,30
28,4789.91,BG17PIBS1739,28,1,1,2023-05-18,30
29,4000.0,BG17PIBS1740,29,1,1,2024-04-22,30
